port_code,port_of_entry,state_code
ALC,"ALCAN, AK",AK
ANC,"ANCHORAGE, AK",AK
BAR,"BAKER AAF - BAKER ISLAND, AK",AK
DAC,"DALTONS CACHE, AK",AK
PIZ,"DEW STATION PT LAY DEW, AK",AK
DTH,"DUTCH HARBOR, AK",AK
EGL,"EAGLE, AK",AK
FRB,"FAIRBANKS, AK",AK
HOM,"HOMER, AK",AK
HYD,"HYDER, AK",AK
JUN,"JUNEAU, AK",AK
5KE,"KETCHIKAN, AK",AK
KET,"KETCHIKAN, AK",AK
MOS,"MOSES POINT INTERMEDIATE, AK",AK
NIK,"NIKISKI, AK",AK
NOM,"NOM, AK",AK
PKC,"POKER CREEK, AK",AK
ORI,"PORT LIONS SPB, AK",AK
SKA,"SKAGWAY, AK",AK
SNP,"ST. PAUL ISLAND, AK",AK
TKI,"TOKEEN, AK",AK
WRA,"WRANGELL, AK",AK
HSV,"MADISON COUNTY - HUNTSVILLE, AL",AL
MOB,"MOBILE, AL",AL
LIA,"LITTLE ROCK, AR (BPS)",AR
ROG,"ROGERS ARPT, AR",AR
DOU,"DOUGLAS, AZ",AZ
LUK,"LUKEVILLE, AZ",AZ
MAP,"MARIPOSA AZ",AZ
NAC,"NACO, AZ",AZ
NOG,"NOGALES, AZ",AZ
PHO,"PHOENIX, AZ",AZ
POR,"PORTAL, AZ",AZ
SLU,"SAN LUIS, AZ",AZ
SAS,"SASABE, AZ",AZ
TUC,"TUCSON, AZ",AZ
YUI,"YUMA, AZ",AZ
AND,"ANDRADE, CA",CA
BUR,"BURBANK, CA",CA
CAL,"CALEXICO, CA",CA
CAO,"CAMPO, CA",CA
FRE,"FRESNO, CA",CA
ICP,"IMPERIAL COUNTY, CA",CA
LNB,"LONG BEACH, CA",CA
LOS,"LOS ANGELES, CA",CA
BFL,"MEADOWS FIELD - BAKERSFIELD, CA",CA
OAK,"OAKLAND, CA",CA
ONT,"ONTARIO, CA",CA
OTM,"OTAY MESA, CA",CA
BLT,"PACIFIC, HWY. STATION, CA",CA
